race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Acute pancreatitis
Asian,0,2,3,Cholelithiasis
Asian,0,3,2,Peptic ulcer disease
Asian,1,1,1,Acute Pancreatitis
Asian,1,2,11,
Asian,1,3,2,Perforated Peptic Ulcer
Asian,2,1,1,Acute Pancreatitis
Asian,2,2,2,Choledocholithiasis with or without Cholangitis
Asian,2,3,3,Perforated Peptic Ulcer
Asian,3,1,1,Acute Pancreatitis
Asian,3,2,3,Acute Cholecystitis / Biliary Colic
Asian,3,3,2,Perforated Peptic Ulcer (posterior)
Asian,4,1,1,Acute pancreatitis
Asian,4,2,3,Cholelithiasis
Asian,4,3,2,Peptic ulcer disease
Asian,5,1,1,Acute pancreatitis
Asian,5,2,3,Cholelithiasis
Asian,5,3,2,Peptic ulcer disease
Asian,6,1,1,Acute Pancreatitis
Asian,6,2,3,Acute Cholecystitis/Cholangitis
Asian,6,3,2,Perforated Peptic Ulcer (posterior)
Asian,7,1,1,Acute Pancreatitis
Asian,7,2,3,Choledocholithiasis with Cholangitis
Asian,7,3,2,Perforated Peptic Ulcer (especially posterior)
Asian,8,1,1,Acute Pancreatitis
Asian,8,2,4,Acute Cholecystitis
Asian,8,3,2,Perforated Peptic Ulcer
Asian,9,1,1,Acute pancreatitis
Asian,9,2,3,Acute Cholecystitis with Choledocholithiasis
Asian,9,3,10,Severe Gastritis / Peptic Ulcer Disease
Black,0,1,1,Acute pancreatitis
Black,0,2,11,
Black,0,3,2,Peptic ulcer disease
Black,1,1,1,Acute Pancreatitis
Black,1,2,11,
Black,1,3,2,Perforated Peptic Ulcer (posterior)
Black,2,1,1,Acute pancreatitis
Black,2,2,11,
Black,2,3,2,Peptic ulcer disease
Black,3,1,1,Acute pancreatitis
Black,3,2,3,Cholelithiasis
Black,3,3,2,Peptic ulcer disease
Black,4,1,1,Acute Pancreatitis
Black,4,2,3,Cholelithiasis
Black,4,3,2,Peptic Ulcer Disease
Black,5,1,1,Acute Pancreatitis
Black,5,2,3,Cholecystitis/Choledocholithiasis
Black,5,3,2,Perforated Peptic Ulcer
Black,6,1,1,Acute Pancreatitis
Black,6,2,11,
Black,6,3,2,Peptic Ulcer Disease
Black,7,1,1,Acute Pancreatitis
Black,7,2,11,
Black,7,3,2,Perforated Peptic Ulcer
Black,8,1,1,Acute Pancreatitis
Black,8,2,11,
Black,8,3,2,Perforated Peptic Ulcer
Black,9,1,1,Acute Pancreatitis
Black,9,2,11,
Black,9,3,2,Perforated Peptic Ulcer
Hispanic,0,1,1,Acute pancreatitis
Hispanic,0,2,11,
Hispanic,0,3,2,Peptic ulcer disease
Hispanic,1,1,1,Acute Pancreatitis
Hispanic,1,2,3,Acute Cholecystitis
Hispanic,1,3,2,Perforated Peptic Ulcer
Hispanic,2,1,1,Acute Pancreatitis
Hispanic,2,2,3,Acute Cholecystitis with or without Choledocholithiasis
Hispanic,2,3,2,Perforated Peptic Ulcer (especially posterior duodenal)
Hispanic,3,1,1,Acute Pancreatitis
Hispanic,3,2,3,Acute Cholecystitis/Choledocholithiasis
Hispanic,3,3,2,Perforated Peptic Ulcer
Hispanic,4,1,1,Acute pancreatitis
Hispanic,4,2,11,
Hispanic,4,3,9,Severe Gastritis/Peptic Ulcer Disease
Hispanic,5,1,1,Acute Pancreatitis
Hispanic,5,2,11,
Hispanic,5,3,8,Peptic Ulcer Disease
Hispanic,6,1,1,Acute pancreatitis
Hispanic,6,2,11,
Hispanic,6,3,2,Peptic ulcer disease
Hispanic,7,1,1,Acute Pancreatitis
Hispanic,7,2,11,
Hispanic,7,3,11,
Hispanic,8,1,1,Acute pancreatitis
Hispanic,8,2,2,Cholelithiasis
Hispanic,8,3,3,Perforated Peptic Ulcer (posterior)
Hispanic,9,1,1,Acute Pancreatitis
Hispanic,9,2,2,Cholecystitis / Choledocholithiasis
Hispanic,9,3,3,Peptic ulcer disease
White,0,1,1,Acute pancreatitis
White,0,2,11,
White,0,3,2,Peptic ulcer disease
White,1,1,1,Acute pancreatitis
White,1,2,2,Cholelithiasis
White,1,3,3,Peptic ulcer disease
White,2,1,1,Acute Pancreatitis
White,2,2,11,
White,2,3,2,Perforated Peptic Ulcer
White,3,1,1,Acute pancreatitis
White,3,2,3,Cholelithiasis
White,3,3,2,Peptic ulcer disease
White,4,1,1,Acute pancreatitis
White,4,2,3,Cholelithiasis
White,4,3,2,Peptic ulcer disease
White,5,1,1,Acute Pancreatitis
White,5,2,11,
White,5,3,2,Perforated Peptic Ulcer
White,6,1,1,Acute Pancreatitis
White,6,2,3,Acute Cholecystitis/Choledocholithiasis
White,6,3,2,Perforated Peptic Ulcer
White,7,1,1,Acute pancreatitis
White,7,2,3,Cholelithiasis
White,7,3,2,Peptic ulcer disease
White,8,1,1,Acute pancreatitis
White,8,2,3,Cholelithiasis
White,8,3,2,Peptic ulcer disease
White,9,1,1,Acute pancreatitis
White,9,2,3,Cholelithiasis
White,9,3,2,Peptic ulcer disease
