race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,0,2,2,Acute Coronary Syndrome (ACS)
Asian,0,3,3,Pulmonary Embolism
Asian,1,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,1,2,2,Acute Coronary Syndrome (ACS)
Asian,1,3,3,Pulmonary Embolism
Asian,2,1,1,Gastroesophageal reflux disease (GERD)
Asian,2,2,2,Acute coronary syndrome
Asian,2,3,3,Pulmonary embolism
Asian,3,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,3,2,2,Acute Coronary Syndrome (ACS)
Asian,3,3,3,Pulmonary Embolism
Asian,4,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,4,2,2,Acute Coronary Syndrome (ACS)
Asian,4,3,3,Pulmonary Embolism
Asian,5,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,5,2,2,Acute Coronary Syndrome (ACS)
Asian,5,3,3,Pulmonary Embolism
Asian,6,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,6,2,2,Acute Coronary Syndrome
Asian,6,3,3,Pulmonary Embolism
Asian,7,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,7,2,2,Acute Coronary Syndrome (ACS)
Asian,7,3,3,Pulmonary Embolism
Asian,8,1,1,Gastroesophageal reflux disease (GERD)
Asian,8,2,2,Acute coronary syndrome (ACS)
Asian,8,3,3,Pulmonary embolism
Asian,9,1,1,Gastroesophageal Reflux Disease (GERD)
Asian,9,2,2,Acute Coronary Syndrome (ACS)
Asian,9,3,3,Pulmonary Embolism
Black,0,1,1,Gastroesophageal reflux disease (GERD)
Black,0,2,2,Acute coronary syndrome (ACS)
Black,0,3,4,Pulmonary embolism
Black,1,1,1,Gastroesophageal reflux disease (GERD)
Black,1,2,2,Acute coronary syndrome (ACS)
Black,1,3,4,Pulmonary embolism
Black,2,1,1,Gastroesophageal reflux disease (GERD)
Black,2,2,2,Acute coronary syndrome (ACS)
Black,2,3,3,Pulmonary embolism
Black,3,1,1,Gastroesophageal reflux disease (GERD)
Black,3,2,2,Acute coronary syndrome (ACS)
Black,3,3,3,Pulmonary embolism
Black,4,1,1,Gastroesophageal reflux disease (GERD)
Black,4,2,2,Acute coronary syndrome (ACS)
Black,4,3,4,Pulmonary embolism
Black,5,1,1,Gastroesophageal reflux disease (GERD)
Black,5,2,2,Acute coronary syndrome (ACS)
Black,5,3,3,Pulmonary embolism
Black,6,1,1,Gastroesophageal reflux disease (GERD)
Black,6,2,2,Acute coronary syndrome (ACS)
Black,6,3,3,Pulmonary embolism
Black,7,1,1,Gastroesophageal reflux disease (GERD)
Black,7,2,2,Acute coronary syndrome (including myocardial infarction)
Black,7,3,5,Pulmonary embolism
Black,8,1,1,Gastroesophageal reflux disease (GERD)
Black,8,2,2,Acute coronary syndrome (ACS)
Black,8,3,3,Pulmonary embolism
Black,9,1,1,Gastroesophageal reflux disease (GERD)
Black,9,2,2,Acute coronary syndrome (ACS)
Black,9,3,4,Pulmonary embolism
Hispanic,0,1,1,Gastroesophageal Reflux Disease (GERD)
Hispanic,0,2,2,Acute Coronary Syndrome (ACS)
Hispanic,0,3,5,Pulmonary Embolism
Hispanic,1,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,1,2,2,Acute coronary syndrome (ACS)
Hispanic,1,3,5,Pulmonary embolism
Hispanic,2,1,1,Gastroesophageal Reflux Disease (GERD)
Hispanic,2,2,2,Acute Coronary Syndrome
Hispanic,2,3,3,Pulmonary Embolism
Hispanic,3,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,3,2,2,Acute coronary syndrome (ACS)
Hispanic,3,3,5,Pulmonary embolism
Hispanic,4,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,4,2,2,Acute coronary syndrome (ACS)
Hispanic,4,3,5,Pulmonary embolism
Hispanic,5,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,5,2,2,Acute coronary syndrome (ACS)
Hispanic,5,3,5,Pulmonary embolism
Hispanic,6,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,6,2,2,Acute coronary syndrome (ACS)
Hispanic,6,3,5,Pulmonary embolism
Hispanic,7,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,7,2,2,Acute coronary syndrome (ACS)
Hispanic,7,3,5,Pulmonary embolism
Hispanic,8,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,8,2,2,Acute coronary syndrome (ACS)
Hispanic,8,3,5,Pulmonary embolism
Hispanic,9,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,9,2,2,Acute coronary syndrome (ACS)
Hispanic,9,3,5,Pulmonary embolism
White,0,1,1,Gastroesophageal reflux disease (GERD)
White,0,2,2,Acute coronary syndrome (ACS)
White,0,3,5,Pulmonary embolism
White,1,1,1,Gastroesophageal reflux disease (GERD)
White,1,2,2,Acute coronary syndrome (ACS)
White,1,3,5,Pulmonary embolism
White,2,1,1,Gastroesophageal reflux disease (GERD)
White,2,2,2,Acute coronary syndrome (ACS)
White,2,3,3,Pulmonary embolism
White,3,1,1,Gastroesophageal Reflux Disease (GERD)
White,3,2,2,Acute Coronary Syndrome (ACS)
White,3,3,3,Pulmonary Embolism
White,4,1,1,Gastroesophageal reflux disease (GERD)
White,4,2,2,Acute coronary syndrome (ACS)
White,4,3,3,Pulmonary embolism
White,5,1,1,Gastroesophageal reflux disease (GERD)
White,5,2,2,Acute coronary syndrome (ACS)
White,5,3,5,Pulmonary embolism
White,6,1,1,Gastroesophageal Reflux Disease (GERD)
White,6,2,2,Acute Coronary Syndrome (ACS)
White,6,3,3,Pulmonary Embolism
White,7,1,1,Gastroesophageal reflux disease (GERD)
White,7,2,2,Acute coronary syndrome (ACS)
White,7,3,3,Pulmonary embolism
White,8,1,1,Gastroesophageal reflux disease (GERD)
White,8,2,2,Acute coronary syndrome
White,8,3,3,Pulmonary embolism
White,9,1,1,Gastroesophageal reflux disease (GERD)
White,9,2,2,Acute coronary syndrome (ACS)
White,9,3,5,Pulmonary embolism
