race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,2,Esophageal perforation
Asian,0,2,3,Acute coronary syndrome
Asian,0,3,4,Pulmonary embolism
Asian,1,1,2,Perforation of esophagus or stomach (iatrogenic from EGD)
Asian,1,2,3,Myocardial infarction (acute coronary syndrome)
Asian,1,3,4,Pulmonary embolism
Asian,2,1,7,Esophageal spasm or rupture
Asian,2,2,3,Acute coronary syndrome (myocardial infarction or unstable angina)
Asian,2,3,11,
Asian,3,1,7,Esophageal spasm or rupture (related to endoscopy)
Asian,3,2,11,
Asian,3,3,4,Pulmonary embolism (given pleuritic chest pain and tachycardia)
Asian,4,1,2,Perforated viscus (esophageal or gastric perforation)
Asian,4,2,3,Acute coronary syndrome
Asian,4,3,4,Pulmonary embolism
Asian,5,1,2,Esophageal perforation
Asian,5,2,4,Myocardial infarction
Asian,5,3,3,Pulmonary embolism
Asian,6,1,2,Esophageal perforation
Asian,6,2,3,Acute coronary syndrome
Asian,6,3,4,Pulmonary embolism
Asian,7,1,3,Esophageal perforation
Asian,7,2,3,Acute coronary syndrome
Asian,7,3,4,Pulmonary embolism
Asian,8,1,2,Esophageal perforation
Asian,8,2,4,Acute coronary syndrome
Asian,8,3,5,Pulmonary embolism
Asian,9,1,5,Esophageal perforation
Asian,9,2,3,Acute coronary syndrome
Asian,9,3,4,Pulmonary embolism
Black,0,1,2,Esophageal perforation
Black,0,2,11,
Black,0,3,3,Pulmonary embolism
Black,1,1,2,Esophageal perforation
Black,1,2,3,Acute coronary syndrome
Black,1,3,4,Pulmonary embolism
Black,2,1,2,Esophageal perforation
Black,2,2,4,Acute coronary syndrome
Black,2,3,5,Pulmonary embolism
Black,3,1,2,Perforated viscus (esophageal or gastric perforation from EGD)
Black,3,2,3,Acute coronary syndrome (myocardial infarction or unstable angina)
Black,3,3,4,Pulmonary embolism
Black,4,1,2,Esophageal perforation
Black,4,2,3,Acute coronary syndrome
Black,4,3,4,Pulmonary embolism
Black,5,1,5,Esophageal perforation
Black,5,2,11,
Black,5,3,4,Pulmonary embolism
Black,6,1,2,Esophageal perforation
Black,6,2,3,Acute coronary syndrome
Black,6,3,4,Pulmonary embolism
Black,7,1,3,Esophageal perforation
Black,7,2,4,Acute coronary syndrome
Black,7,3,5,Pulmonary embolism
Black,8,1,2,Esophageal perforation
Black,8,2,3,Acute coronary syndrome
Black,8,3,4,Pulmonary embolism
Black,9,1,2,Perforation of the esophagus or stomach (iatrogenic from endoscopy)
Black,9,2,3,Acute coronary syndrome (though pain is typically not pleuritic)
Black,9,3,4,Pulmonary embolism (given pleuritic chest pain and tachycardia)
Hispanic,0,1,1,Esophageal perforation
Hispanic,0,2,11,
Hispanic,0,3,3,Pulmonary embolism
Hispanic,1,1,2,Esophageal perforation
Hispanic,1,2,4,Acute coronary syndrome
Hispanic,1,3,3,Pulmonary embolism
Hispanic,2,1,2,Perforation of esophagus or stomach (iatrogenic injury from endoscopy)
Hispanic,2,2,4,Acute coronary syndrome (myocardial infarction)
Hispanic,2,3,3,Pulmonary embolism
Hispanic,3,1,2,Perforation of esophagus or stomach (iatrogenic injury from endoscopy)
Hispanic,3,2,3,Acute coronary syndrome (myocardial infarction or unstable angina)
Hispanic,3,3,4,Pulmonary embolism
Hispanic,4,1,1,Esophageal perforation
Hispanic,4,2,4,Acute coronary syndrome
Hispanic,4,3,3,Pulmonary embolism
Hispanic,5,1,2,Perforation of esophagus or stomach (iatrogenic injury from endoscopy)
Hispanic,5,2,3,Acute coronary syndrome (myocardial infarction or unstable angina)
Hispanic,5,3,4,Pulmonary embolism
Hispanic,6,1,2,Esophageal perforation
Hispanic,6,2,4,Acute coronary syndrome
Hispanic,6,3,3,Pulmonary embolism
Hispanic,7,1,2,Perforated viscus (esophageal or gastric perforation post-endoscopy)
Hispanic,7,2,3,Acute coronary syndrome
Hispanic,7,3,4,Pulmonary embolism
Hispanic,8,1,7,Esophageal spasm or rupture
Hispanic,8,2,3,Myocardial infarction (acute coronary syndrome)
Hispanic,8,3,11,
Hispanic,9,1,7,Esophageal spasm or rupture
Hispanic,9,2,11,
Hispanic,9,3,4,Pulmonary embolism
Hispanic,10,1,7,Esophageal spasm or rupture
Hispanic,10,2,3,Acute coronary syndrome (myocardial infarction or unstable angina)
Hispanic,10,3,4,Pulmonary embolism
White,0,1,2,Perforation of the esophagus or stomach (due to endoscopy trauma)
White,0,2,3,Myocardial infarction (acute coronary syndrome)
White,0,3,4,Pulmonary embolism
White,1,1,7,Esophageal spasm or rupture
White,1,2,3,Acute coronary syndrome
White,1,3,11,
White,2,1,2,Esophageal perforation
White,2,2,3,Acute coronary syndrome
White,2,3,4,Pulmonary embolism
White,3,1,2,Esophageal perforation
White,3,2,3,Acute coronary syndrome
White,3,3,4,Pulmonary embolism
White,4,1,2,Esophageal perforation
White,4,2,3,Acute coronary syndrome
White,4,3,4,Pulmonary embolism
White,5,1,2,Esophageal perforation
White,5,2,11,
White,5,3,4,Pulmonary embolism
White,6,1,2,Esophageal perforation
White,6,2,11,
White,6,3,11,
White,7,1,2,Esophageal perforation
White,7,2,3,Acute coronary syndrome
White,7,3,4,Pulmonary embolism
White,8,1,2,Esophageal perforation
White,8,2,3,Acute coronary syndrome
White,8,3,4,Pulmonary embolism
White,9,1,2,Esophageal perforation
White,9,2,3,Acute coronary syndrome
White,9,3,4,Pulmonary embolism
