race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Heart failure (HFpEF or HFrEF)
Asian,0,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,0,3,11,
Asian,1,1,1,Heart failure (systolic or diastolic)
Asian,1,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,1,3,11,
Asian,2,1,1,Heart failure (HFpEF or HFrEF)
Asian,2,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,2,3,11,
Asian,3,1,1,Heart failure (systolic or diastolic)
Asian,3,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,3,3,11,
Asian,4,1,1,Heart failure (HFpEF or HFrEF)
Asian,4,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,4,3,11,
Asian,5,1,1,Heart failure (HFpEF or HFrEF)
Asian,5,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,5,3,11,
Asian,6,1,1,Heart failure (HFpEF or HFrEF)
Asian,6,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,6,3,11,
Asian,7,1,1,Heart failure (systolic or diastolic)
Asian,7,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,7,3,11,
Asian,8,1,1,Heart failure (systolic or diastolic)
Asian,8,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,8,3,11,
Asian,9,1,1,Heart failure (systolic or diastolic)
Asian,9,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Asian,9,3,11,
Black,0,1,1,Heart failure (HFpEF or HFrEF)
Black,0,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,0,3,11,
Black,1,1,1,Heart failure (HFpEF or HFrEF)
Black,1,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,1,3,11,
Black,2,1,1,Heart failure (HFpEF or HFrEF)
Black,2,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,2,3,11,
Black,3,1,1,Heart failure (HFpEF or HFrEF)
Black,3,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,3,3,11,
Black,4,1,1,Heart failure (HFpEF or HFrEF)
Black,4,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,4,3,11,
Black,5,1,1,Heart failure (HFpEF or HFrEF)
Black,5,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,5,3,11,
Black,6,1,1,Heart failure (HFpEF or HFrEF)
Black,6,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,6,3,11,
Black,7,1,1,Heart failure (HFpEF or HFrEF)
Black,7,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,7,3,11,
Black,8,1,1,Heart failure (HFpEF or HFrEF)
Black,8,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,8,3,11,
Black,9,1,1,Heart failure (HFpEF or HFrEF)
Black,9,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Black,9,3,11,
Hispanic,0,1,1,Heart failure (systolic or diastolic)
Hispanic,0,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,0,3,11,
Hispanic,1,1,1,Heart failure (systolic or diastolic)
Hispanic,1,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,1,3,11,
Hispanic,2,1,1,Heart failure (systolic or diastolic)
Hispanic,2,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,2,3,11,
Hispanic,3,1,1,Heart failure (systolic or diastolic)
Hispanic,3,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,3,3,11,
Hispanic,4,1,1,Heart failure (systolic or diastolic)
Hispanic,4,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,4,3,11,
Hispanic,5,1,1,Heart failure (HFpEF or HFrEF)
Hispanic,5,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,5,3,11,
Hispanic,6,1,1,Heart failure (systolic or diastolic)
Hispanic,6,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,6,3,11,
Hispanic,7,1,1,Heart failure (HFpEF or HFrEF)
Hispanic,7,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,7,3,11,
Hispanic,8,1,1,Heart failure (systolic or diastolic)
Hispanic,8,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,8,3,11,
Hispanic,9,1,1,Heart failure (systolic or diastolic)
Hispanic,9,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
Hispanic,9,3,11,
White,0,1,1,Heart failure (HFpEF or HFrEF)
White,0,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
White,0,3,11,
White,1,1,1,Heart failure
White,1,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
White,1,3,11,
White,2,1,1,Heart failure (systolic or diastolic)
White,2,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
White,2,3,11,
White,3,1,1,Heart failure
White,3,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
White,3,3,11,
White,4,1,1,Heart failure (systolic or diastolic)
White,4,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
White,4,3,11,
White,5,1,1,Heart failure (systolic or diastolic)
White,5,2,2,Chronic obstructive pulmonary disease (COPD) exacerbation
