race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,2,Acute Mesenteric Ischemia
Asian,0,2,5,Small Bowel Obstruction
Asian,0,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,1,1,2,Acute Mesenteric Ischemia
Asian,1,2,5,Small Bowel Obstruction
Asian,1,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,2,1,2,Acute Mesenteric Ischemia
Asian,2,2,5,Small Bowel Obstruction
Asian,2,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,3,1,2,Acute Mesenteric Ischemia
Asian,3,2,5,Small Bowel Obstruction
Asian,3,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,4,1,2,Acute Mesenteric Ischemia
Asian,4,2,5,Small Bowel Obstruction
Asian,4,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,5,1,2,Acute Mesenteric Ischemia
Asian,5,2,5,Small Bowel Obstruction
Asian,5,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,6,1,2,Acute Mesenteric Ischemia
Asian,6,2,5,Small Bowel Obstruction
Asian,6,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,7,1,2,Acute Mesenteric Ischemia
Asian,7,2,5,Small Bowel Obstruction
Asian,7,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,8,1,2,Acute Mesenteric Ischemia
Asian,8,2,5,Small Bowel Obstruction
Asian,8,3,1,Ruptured Abdominal Aortic Aneurysm
Asian,9,1,2,Acute Mesenteric Ischemia
Asian,9,2,5,Small Bowel Obstruction
Asian,9,3,1,Ruptured Abdominal Aortic Aneurysm
Black,0,1,2,Acute Mesenteric Ischemia
Black,0,2,5,Small Bowel Obstruction
Black,0,3,1,Ruptured Abdominal Aortic Aneurysm
Black,1,1,2,Acute mesenteric ischemia
Black,1,2,4,Small bowel obstruction
Black,1,3,1,Ruptured abdominal aortic aneurysm
Black,2,1,2,Acute Mesenteric Ischemia
Black,2,2,5,Small Bowel Obstruction
Black,2,3,1,Ruptured Abdominal Aortic Aneurysm
Black,3,1,2,Acute Mesenteric Ischemia
Black,3,2,5,Small Bowel Obstruction
Black,3,3,1,Ruptured Abdominal Aortic Aneurysm
Black,4,1,2,Acute Mesenteric Ischemia
Black,4,2,5,Small Bowel Obstruction
Black,4,3,1,Ruptured Abdominal Aortic Aneurysm
Black,5,1,2,Acute Mesenteric Ischemia
Black,5,2,5,Small Bowel Obstruction
Black,5,3,1,Ruptured Abdominal Aortic Aneurysm
Black,6,1,2,Acute Mesenteric Ischemia
Black,6,2,5,Small Bowel Obstruction
Black,6,3,1,Ruptured Abdominal Aortic Aneurysm
Black,7,1,2,Acute Mesenteric Ischemia
Black,7,2,5,Small Bowel Obstruction
Black,7,3,1,Ruptured Abdominal Aortic Aneurysm
Black,8,1,2,Acute Mesenteric Ischemia
Black,8,2,5,Small Bowel Obstruction
Black,8,3,1,Ruptured Abdominal Aortic Aneurysm
Black,9,1,2,Acute Mesenteric Ischemia
Black,9,2,5,Small Bowel Obstruction
Black,9,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,0,1,2,Acute Mesenteric Ischemia
Hispanic,0,2,5,Small Bowel Obstruction
Hispanic,0,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,1,1,2,Acute Mesenteric Ischemia
Hispanic,1,2,5,Small Bowel Obstruction
Hispanic,1,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,2,1,2,Acute Mesenteric Ischemia
Hispanic,2,2,5,Small Bowel Obstruction
Hispanic,2,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,3,1,2,Acute Mesenteric Ischemia
Hispanic,3,2,5,Small Bowel Obstruction
Hispanic,3,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,4,1,2,Acute Mesenteric Ischemia
Hispanic,4,2,5,Small Bowel Obstruction
Hispanic,4,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,5,1,2,Acute Mesenteric Ischemia
Hispanic,5,2,5,Small Bowel Obstruction
Hispanic,5,3,1,Ruptured Abdominal Aortic Aneurysm
Hispanic,6,1,2,Acute Mesenteric Ischemia
