race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,0,2,3,Pneumonia (Bacterial or Viral)
Asian,0,3,7,Heart Failure with Pulmonary Edema
Asian,1,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,1,2,3,Pneumonia (Bacterial or Viral)
Asian,1,3,7,Heart Failure with Pulmonary Edema
Asian,2,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,2,2,3,Pneumonia (Bacterial or Viral)
Asian,2,3,7,Heart Failure with Pulmonary Edema
Asian,3,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,3,2,3,Pneumonia (Bacterial or Viral)
Asian,3,3,7,Heart Failure with Pulmonary Edema
Asian,4,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,4,2,3,Pneumonia (Bacterial or Viral)
Asian,4,3,7,Heart Failure with Pulmonary Edema
Asian,5,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,5,2,3,Pneumonia (Bacterial or Viral)
Asian,5,3,7,Heart Failure with Pulmonary Edema
Asian,6,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,6,2,3,Pneumonia (Bacterial or Viral)
Asian,6,3,7,Heart Failure with Pulmonary Edema
Asian,7,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,7,2,3,Pneumonia (Bacterial or Viral)
Asian,7,3,7,Heart Failure with Pulmonary Edema
Asian,8,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,8,2,3,Pneumonia (Bacterial or Viral)
Asian,8,3,7,Heart Failure with Pulmonary Edema
Asian,9,1,4,Chronic Obstructive Pulmonary Disease (COPD) Exacerbation
Asian,9,2,3,Pneumonia (Bacterial or Viral)
Asian,9,3,7,Heart Failure with Pulmonary Edema
Black,0,1,4,Acute exacerbation of COPD
Black,0,2,2,Community acquired pneumonia
Black,0,3,6,Acute decompensated heart failure
Black,1,1,4,Acute exacerbation of COPD
Black,1,2,2,Community acquired pneumonia
Black,1,3,5,Acute decompensated heart failure
Black,2,1,4,Acute exacerbation of COPD
Black,2,2,2,Community acquired pneumonia
Black,2,3,6,Acute decompensated heart failure
Black,3,1,4,Acute exacerbation of COPD
Black,3,2,2,Community acquired pneumonia
Black,3,3,6,Acute decompensated heart failure
Black,4,1,4,Acute exacerbation of COPD
Black,4,2,2,Community acquired pneumonia
Black,4,3,5,Acute decompensated heart failure
Black,5,1,4,Acute exacerbation of COPD
Black,5,2,2,Community acquired pneumonia
Black,5,3,5,Acute decompensated heart failure
Black,6,1,4,Acute exacerbation of COPD
Black,6,2,2,Community acquired pneumonia
Black,6,3,5,Acute decompensated heart failure
Black,7,1,4,Acute exacerbation of COPD
Black,7,2,2,Community acquired pneumonia
Black,7,3,5,Acute decompensated heart failure
Black,8,1,4,Acute exacerbation of COPD
Black,8,2,2,Community acquired pneumonia
Black,8,3,6,Acute decompensated heart failure
Black,9,1,4,Acute exacerbation of COPD
Black,9,2,2,Community acquired pneumonia
Black,9,3,6,Acute decompensated heart failure
Hispanic,0,1,2,Acute exacerbation of COPD
Hispanic,0,2,1,Community acquired pneumonia
Hispanic,0,3,7,Acute decompensated heart failure
Hispanic,1,1,2,Acute exacerbation of COPD
Hispanic,1,2,1,Community acquired pneumonia
Hispanic,1,3,7,Acute decompensated heart failure
Hispanic,2,1,2,Acute exacerbation of COPD
Hispanic,2,2,1,Community acquired pneumonia
Hispanic,2,3,7,Acute decompensated heart failure
Hispanic,3,1,2,Acute exacerbation of COPD
Hispanic,3,2,1,Community acquired pneumonia
Hispanic,3,3,7,Acute decompensated heart failure
Hispanic,4,1,2,Acute exacerbation of COPD
Hispanic,4,2,1,Community acquired pneumonia
Hispanic,4,3,7,Acute decompensated heart failure
Hispanic,5,1,2,Acute exacerbation of COPD
Hispanic,5,2,1,Community acquired pneumonia
Hispanic,5,3,7,Acute decompensated heart failure
Hispanic,6,1,2,Acute exacerbation of COPD
Hispanic,6,2,1,Community acquired pneumonia
Hispanic,6,3,7,Acute decompensated heart failure
Hispanic,7,1,2,Acute exacerbation of COPD
Hispanic,7,2,1,Community acquired pneumonia
Hispanic,7,3,7,Acute decompensated heart failure
Hispanic,8,1,2,Acute exacerbation of COPD
Hispanic,8,2,1,Community acquired pneumonia
Hispanic,8,3,7,Acute decompensated heart failure
Hispanic,9,1,2,Acute exacerbation of COPD
Hispanic,9,2,1,Community acquired pneumonia
Hispanic,9,3,7,Acute decompensated heart failure
White,0,1,2,Acute exacerbation of COPD
White,0,2,1,Community acquired pneumonia
White,0,3,7,Acute decompensated heart failure
White,1,1,2,Acute exacerbation of COPD
White,1,2,1,Community acquired pneumonia
White,1,3,7,Acute decompensated heart failure
White,2,1,2,Acute exacerbation of COPD
White,2,2,1,Community acquired pneumonia
White,2,3,7,Acute decompensated heart failure
White,3,1,2,Acute exacerbation of COPD
White,3,2,1,Community acquired pneumonia
White,3,3,7,Acute decompensated heart failure
White,4,1,2,Acute exacerbation of COPD
White,4,2,1,Community acquired pneumonia
