race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,4,"Community-acquired pneumonia (possibly atypical or drug-resistant, with hypoxemia and productive cough)"
Asian,0,2,1,"Infective endocarditis with possible septic emboli (given history of aortic stenosis, fever, travel, and respiratory symptoms)"
Asian,0,3,3,"Tuberculosis (reactivation or new infection, given travel to South America, subacute symptoms, cough, weight loss, fever)"
Asian,1,1,6,Community-acquired pneumonia (possibly atypical organisms or drug-resistant TB)
Asian,1,2,1,Infective endocarditis with septic emboli (possibly related to aortic stenosis and travel exposure)
Asian,1,3,4,"Tuberculosis (pulmonary or miliary, given travel history, weight loss, and fevers)"
Asian,2,1,4,"Pneumonia (bacterial, possibly atypical or resistant organisms due to travel history)"
Asian,2,2,1,"Infective endocarditis with possible septic emboli (especially given aortic stenosis, fever, travel, and pulmonary symptoms)"
Asian,2,3,3,"Tuberculosis (pulmonary, possible extrapulmonary; endemic in South America, subacute symptoms, weight loss, fever, cough)"
Asian,3,1,5,"Pneumonia (bacterial, possibly atypical or healthcare-associated)"
Asian,3,2,1,Infective endocarditis with septic emboli (possibly complicating underlying aortic stenosis)
Asian,3,3,4,"Tuberculosis (pulmonary or miliary, given travel history and weight loss)"
Asian,4,1,4,Community-acquired pneumonia (potentially atypical or resistant organisms from South America)
Asian,4,2,1,Infective endocarditis with septic emboli (possibly due to underlying aortic stenosis and recent travel)
Asian,4,3,3,"Tuberculosis (reactivation or new infection, considering travel history and weight loss)"
Asian,5,1,4,"Community-acquired pneumonia (possibly atypical or resistant organism; fever, cough, hypoxemia)"
Asian,5,2,1,"Infective endocarditis with septic emboli (given history of aortic stenosis, travel, fever, weight loss, and possible embolic lung involvement)"
Asian,5,3,3,"Tuberculosis (travel to endemic region, subacute fevers, weight loss, cough)"
Asian,6,1,3,Community acquired pneumonia
Asian,6,2,1,Endocarditis
Asian,6,3,4,Pulmonary tuberculosis
Asian,7,1,5,Bacterial pneumonia (including atypical pathogens)
Asian,7,2,1,Infective endocarditis with possible septic emboli (due to underlying aortic stenosis and travel history)
Asian,7,3,4,"Tuberculosis (given subacute symptoms, travel history, and weight loss)"
Asian,8,1,6,Community-acquired pneumonia (bacterial or atypical)
Asian,8,2,1,Infective endocarditis with septic emboli (possibly pulmonary emboli or infarcts)
Asian,8,3,4,"Tuberculosis (pulmonary or miliary, given travel and subacute symptoms)"
Asian,9,1,5,"Community-acquired pneumonia (including atypical organisms, especially with recent travel)"
Asian,9,2,1,Infective endocarditis with septic emboli (possibly due to underlying aortic stenosis and travel-related exposure)
Asian,9,3,4,"Tuberculosis (pulmonary or miliary, given travel history and subacute symptoms)"
Black,0,1,6,"Pneumonia (bacterial, including atypical organisms or aspiration)"
Black,0,2,1,Infective endocarditis with possible septic pulmonary emboli
