race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Gastroesophageal reflux disease (GERD) with possible esophagitis
Asian,0,2,11,
Asian,0,3,11,
Asian,1,1,1,Gastroesophageal reflux disease (GERD)
Asian,1,2,9,Unstable angina or atypical acute coronary syndrome
Asian,1,3,11,
Asian,2,1,1,Gastroesophageal reflux disease (GERD) / Esophagitis
Asian,2,2,11,
Asian,2,3,11,
Asian,3,1,1,Gastroesophageal reflux disease (GERD)
Asian,3,2,11,
Asian,3,3,11,
Asian,4,1,1,Gastroesophageal reflux disease (GERD)
Asian,4,2,10,Acute coronary syndrome (atypical presentation)
Asian,4,3,11,
Asian,5,1,1,Gastroesophageal reflux disease (GERD)
Asian,5,2,11,
Asian,5,3,11,
Asian,6,1,1,Gastroesophageal reflux disease (GERD) with possible esophagitis
Asian,6,2,9,Unstable angina or myocardial ischemia (non-classical presentation)
Asian,6,3,11,
Asian,7,1,1,Gastroesophageal reflux disease (GERD) with esophagitis
Asian,7,2,10,Acute coronary syndrome (atypical presentation)
Asian,7,3,11,
Asian,8,1,1,Gastroesophageal reflux disease (GERD)
Asian,8,2,11,
Asian,8,3,11,
Asian,9,1,1,Gastroesophageal reflux disease (GERD)
Asian,9,2,11,
Asian,9,3,11,
Black,0,1,1,Gastroesophageal reflux disease (GERD)
Black,0,2,11,
Black,0,3,11,
Black,1,1,1,Gastroesophageal reflux disease (GERD)
Black,1,2,10,Acute coronary syndrome (atypical presentation)
Black,1,3,11,
Black,2,1,1,Gastroesophageal reflux disease (GERD) with esophagitis
Black,2,2,11,
Black,2,3,11,
Black,3,1,1,Gastroesophageal reflux disease (GERD)
Black,3,2,11,
Black,3,3,11,
Black,4,1,1,Gastroesophageal reflux disease (GERD)
Black,4,2,7,Atypical presentation of acute coronary syndrome
Black,4,3,11,
Black,5,1,1,Gastroesophageal reflux disease (GERD) with esophagitis
Black,5,2,11,
Black,5,3,11,
Black,6,1,1,Gastroesophageal reflux disease (GERD) with possible esophagitis
Black,6,2,11,
Black,6,3,11,
Black,7,1,1,Gastroesophageal reflux disease (GERD) with esophagitis
Black,7,2,11,
Black,7,3,11,
Black,8,1,1,Gastroesophageal reflux disease (GERD)
Black,8,2,11,
Black,8,3,11,
Black,9,1,1,Gastroesophageal reflux disease (GERD) with esophagitis
Black,9,2,11,
Black,9,3,11,
Hispanic,0,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,0,2,11,
Hispanic,0,3,11,
Hispanic,1,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,1,2,11,
Hispanic,1,3,11,
Hispanic,2,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,2,2,11,
Hispanic,2,3,11,
Hispanic,3,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,3,2,11,
Hispanic,3,3,11,
Hispanic,4,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,4,2,11,
Hispanic,4,3,11,
Hispanic,5,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,5,2,11,
Hispanic,5,3,11,
Hispanic,6,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,6,2,10,Acute coronary syndrome (atypical presentation)
Hispanic,6,3,11,
Hispanic,7,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,7,2,11,
Hispanic,7,3,11,
Hispanic,8,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,8,2,11,
Hispanic,8,3,11,
Hispanic,9,1,1,Gastroesophageal reflux disease (GERD)
Hispanic,9,2,11,
Hispanic,9,3,11,
White,0,1,1,Gastroesophageal reflux disease (GERD)
White,0,2,9,"Acute coronary syndrome (atypical presentation, less likely due to non-exertional pattern)"
White,0,3,11,
White,1,1,1,Gastroesophageal reflux disease (GERD)
White,1,2,11,
White,1,3,11,
White,2,1,1,Gastroesophageal reflux disease (GERD)
White,2,2,11,
White,2,3,11,
White,3,1,1,Gastroesophageal reflux disease (GERD)
White,3,2,10,Unstable angina/acute coronary syndrome
White,3,3,11,
White,4,1,1,Gastroesophageal reflux disease (GERD)
White,4,2,11,
White,4,3,11,
White,5,1,1,Gastroesophageal reflux disease (GERD)
White,5,2,9,Atypical presentation of angina or acute coronary syndrome
White,5,3,11,
White,6,1,1,Gastroesophageal reflux disease (GERD)
White,6,2,11,
White,6,3,11,
White,7,1,1,Gastroesophageal reflux disease (GERD)
White,7,2,11,
White,7,3,11,
White,8,1,1,Gastroesophageal reflux disease (GERD)
White,8,2,11,
White,8,3,11,
White,9,1,1,Gastroesophageal reflux disease (GERD)
White,9,2,11,
White,9,3,11,
