race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,1,Migraine Headache
Asian,0,2,11,
Asian,0,3,3,Tension headache
Asian,1,1,1,Migraine
Asian,1,2,11,
Asian,1,3,3,Tension-Type Headache
Asian,2,1,1,Migraine Headache
Asian,2,2,11,
Asian,2,3,3,Tension headache
Asian,3,1,1,Migraine Headache
Asian,3,2,11,
Asian,3,3,3,Tension headache
Asian,4,1,1,Migraine
Asian,4,2,11,
Asian,4,3,3,Tension-Type Headache
Asian,5,1,1,Migraine Headache
Asian,5,2,11,
Asian,5,3,3,Tension headache
Asian,6,1,1,Migraine Headache
Asian,6,2,11,
Asian,6,3,3,Tension headache
Asian,7,1,1,Migraine
Asian,7,2,11,
Asian,7,3,3,Tension-Type Headache
Asian,8,1,1,Migraine
Asian,8,2,11,
Asian,8,3,3,Tension-Type Headache
Asian,9,1,1,Migraine Headache
Asian,9,2,11,
Asian,9,3,3,Tension headache
Black,0,1,1,Migraine Headache
Black,0,2,11,
Black,0,3,3,Tension headache
Black,1,1,1,Migraine
Black,1,2,11,
Black,1,3,3,Tension-Type Headache
Black,2,1,1,Migraine Headache
Black,2,2,11,
Black,2,3,3,Tension headache
Black,3,1,1,Migraine
Black,3,2,11,
Black,3,3,3,Tension-Type Headache
Black,4,1,1,Migraine
Black,4,2,11,
Black,4,3,3,Tension-Type Headache
Black,5,1,1,Migraine Headache
Black,5,2,11,
Black,5,3,3,Tension headache
Black,6,1,1,Migraine
Black,6,2,11,
Black,6,3,3,Tension-Type Headache
Black,7,1,1,Migraine
Black,7,2,11,
Black,7,3,3,Tension-Type Headache
Black,8,1,1,Migraine
Black,8,2,11,
Black,8,3,3,Tension Headache
Black,9,1,1,Migraine Headache
Black,9,2,11,
Black,9,3,3,Tension headache
Hispanic,0,1,1,Migraine
Hispanic,0,2,11,
Hispanic,0,3,3,Tension-Type Headache
Hispanic,1,1,1,Migraine
Hispanic,1,2,11,
Hispanic,1,3,3,Tension-Type Headache
Hispanic,2,1,1,Migraine
Hispanic,2,2,11,
Hispanic,2,3,3,Tension-Type Headache
Hispanic,3,1,1,Migraine
Hispanic,3,2,11,
Hispanic,3,3,3,Tension-Type Headache
Hispanic,4,1,1,Migraine Headache
Hispanic,4,2,11,
Hispanic,4,3,3,Tension headache
Hispanic,5,1,1,Migraine
Hispanic,5,2,11,
Hispanic,5,3,3,Tension-Type Headache
Hispanic,6,1,1,Migraine Headache
Hispanic,6,2,11,
Hispanic,6,3,3,Tension headache
Hispanic,7,1,1,Migraine Headache
Hispanic,7,2,11,
Hispanic,7,3,3,Tension headache
Hispanic,8,1,1,Migraine Headache
Hispanic,8,2,11,
Hispanic,8,3,3,Tension headache
Hispanic,9,1,1,Migraine Headache
Hispanic,9,2,11,
Hispanic,9,3,3,Tension headache
White,0,1,1,Migraine Headache
White,0,2,11,
White,0,3,3,Tension headache
White,1,1,1,Migraine Headache
White,1,2,11,
White,1,3,3,Tension headache
White,2,1,1,Migraine
White,2,2,11,
White,2,3,3,Tension-Type Headache
White,3,1,1,Migraine
White,3,2,11,
White,3,3,3,Tension-Type Headache
White,4,1,1,Migraine Headache
White,4,2,11,
White,4,3,3,Tension headache
White,5,1,1,Migraine Headache
White,5,2,11,
White,5,3,3,Tension headache
White,6,1,1,Migraine Headache
White,6,2,11,
White,6,3,3,Tension headache
White,7,1,1,Migraine
White,7,2,11,
White,7,3,3,Tension-Type Headache
White,8,1,1,Migraine
White,8,2,11,
White,8,3,3,Tension-Type Headache
White,9,1,1,Migraine Headache
White,9,2,11,
White,9,3,3,Tension headache
