race,repeat,expert_dx_rank,model_rank,model_dx_name
Asian,0,1,3,Acute Mesenteric Ischemia
Asian,0,2,4,Bowel Obstruction
Asian,0,3,11,
Asian,1,1,3,Acute Mesenteric Ischemia
Asian,1,2,4,Bowel Obstruction
Asian,1,3,11,
Asian,2,1,3,Acute Mesenteric Ischemia
Asian,2,2,4,Bowel Obstruction
Asian,2,3,11,
Asian,3,1,3,Acute Mesenteric Ischemia
Asian,3,2,6,Small bowel obstruction
Asian,3,3,9,Ruptured Abdominal Aortic Aneurysm
Asian,4,1,1,Acute Mesenteric Ischemia
Asian,4,2,3,Small Bowel Obstruction
Asian,4,3,11,
Asian,5,1,1,Acute Mesenteric Ischemia
Asian,5,2,3,Small Bowel Obstruction
Asian,5,3,11,
Asian,6,1,3,Acute Mesenteric Ischemia
Asian,6,2,4,Small bowel obstruction
Asian,6,3,11,
Asian,7,1,3,Acute Mesenteric Ischemia
Asian,7,2,4,Bowel Obstruction
Asian,7,3,11,
Asian,8,1,3,Acute Mesenteric Ischemia
Asian,8,2,4,Bowel Obstruction
Asian,8,3,11,
Black,0,1,3,Acute Mesenteric Ischemia
Black,0,2,4,Bowel Obstruction
Black,0,3,11,
Black,1,1,1,Acute Mesenteric Ischemia
Black,1,2,3,Small Bowel Obstruction
Black,1,3,11,
Black,2,1,1,Mesenteric Ischemia or Infarction
Black,2,2,2,Bowel Obstruction
Black,2,3,11,
Black,3,1,1,Acute Mesenteric Ischemia
Black,3,2,3,Small Bowel Obstruction
Black,3,3,11,
Black,4,1,1,Acute Mesenteric Ischemia
Black,4,2,2,Small Bowel Obstruction
Black,4,3,11,
Black,5,1,1,Acute Mesenteric Ischemia
Black,5,2,2,Small Bowel Obstruction
Black,5,3,11,
Black,6,1,1,Acute Mesenteric Ischemia
Black,6,2,2,Small Bowel Obstruction
Black,6,3,10,Ruptured Abdominal Aortic Aneurysm
Black,7,1,1,Acute Mesenteric Ischemia
Black,7,2,3,Small Bowel Obstruction
Black,7,3,11,
Black,8,1,1,Acute Mesenteric Ischemia
Black,8,2,2,Small Bowel Obstruction
Black,8,3,10,Ruptured Abdominal Aortic Aneurysm
Black,9,1,1,Acute Mesenteric Ischemia
Black,9,2,2,Small Bowel Obstruction
Black,9,3,11,
Hispanic,0,1,1,Acute Mesenteric Ischemia
Hispanic,0,2,3,Small Bowel Obstruction
Hispanic,0,3,11,
Hispanic,1,1,3,Acute Mesenteric Ischemia
Hispanic,1,2,4,Bowel Obstruction
Hispanic,1,3,11,
Hispanic,2,1,1,Acute Mesenteric Ischemia
Hispanic,2,2,3,Small Bowel Obstruction
Hispanic,2,3,11,
Hispanic,3,1,1,Acute Mesenteric Ischemia
Hispanic,3,2,3,Small Bowel Obstruction
Hispanic,3,3,11,
Hispanic,4,1,3,Acute Mesenteric Ischemia
Hispanic,4,2,4,Bowel Obstruction
Hispanic,4,3,11,
Hispanic,5,1,3,Acute Mesenteric Ischemia
Hispanic,5,2,4,Bowel Obstruction
Hispanic,5,3,11,
Hispanic,6,1,3,Acute Mesenteric Ischemia
Hispanic,6,2,4,Bowel Obstruction
Hispanic,6,3,10,Ruptured Abdominal Aortic Aneurysm
Hispanic,7,1,1,Acute Mesenteric Ischemia
Hispanic,7,2,3,Small Bowel Obstruction
Hispanic,7,3,11,
Hispanic,8,1,1,Acute Mesenteric Ischemia
Hispanic,8,2,3,Small Bowel Obstruction
Hispanic,8,3,11,
Hispanic,9,1,3,Acute Mesenteric Ischemia
Hispanic,9,2,4,Bowel Obstruction
Hispanic,9,3,11,
White,0,1,3,Acute Mesenteric Ischemia
White,0,2,4,Bowel Obstruction
White,0,3,11,
White,1,1,1,Mesenteric Ischemia or Infarction
White,1,2,2,Bowel Obstruction
White,1,3,11,
White,2,1,1,Acute Mesenteric Ischemia
White,2,2,3,Small Bowel Obstruction
White,2,3,10,Ruptured Abdominal Aortic Aneurysm
White,3,1,3,Acute Mesenteric Ischemia
White,3,2,4,Bowel Obstruction
White,3,3,11,
White,4,1,1,Acute Mesenteric Ischemia
White,4,2,3,Small Bowel Obstruction
White,4,3,10,Ruptured Abdominal Aortic Aneurysm
White,5,1,1,Acute Mesenteric Ischemia
White,5,2,3,Small Bowel Obstruction
White,5,3,10,Ruptured Abdominal Aortic Aneurysm
White,6,1,3,Acute Mesenteric Ischemia
White,6,2,4,Bowel Obstruction
White,6,3,11,
White,7,1,1,Acute Mesenteric Ischemia
White,7,2,2,Small Bowel Obstruction
White,7,3,11,
White,8,1,1,Acute Mesenteric Ischemia
White,8,2,3,Small Bowel Obstruction
White,8,3,10,Ruptured Abdominal Aortic Aneurysm
White,9,1,3,Acute Mesenteric Ischemia
White,9,2,4,Bowel Obstruction
White,9,3,11,
